Flow 1,Flow 2,Flow 3,Temperature
0.2375,0.2375,0.125,70
0.1125,0.2375,0.25,70
0.05,0.175,0.375,70
0.175,0.175,0.25,70
0.3,0.175,0.125,70
0.2375,0.1125,0.25,70
0.1125,0.1125,0.375,70
0.175,0.05,0.375,70
0.3,0.05,0.25,70
0.3,0.05,0.25,75
0.175,0.05,0.375,75
0.1125,0.1125,0.375,75
0.2375,0.1125,0.25,75
0.3,0.175,0.125,75
0.175,0.175,0.25,75
0.05,0.175,0.375,75
0.1125,0.2375,0.25,75
0.2375,0.2375,0.125,75
0.3,0.3,0,75
0.175,0.3,0.125,75
0.05,0.3,0.25,75
0.05,0.3,0.25,80
0.175,0.3,0.125,80
0.3,0.3,0,80
0.2375,0.2375,0.125,80
0.1125,0.2375,0.25,80
0.05,0.175,0.375,80
0.175,0.175,0.25,80
0.3,0.175,0.125,80
0.2375,0.1125,0.25,80
0.1125,0.1125,0.375,80
0.175,0.05,0.375,80
0.3,0.05,0.25,80
0.05,0.3,0.25,0
0.175,0.3,0.125,0
0.3,0.3,0,0
0.2375,0.2375,0.125,0
0.1125,0.2375,0.25,0
0.05,0.175,0.375,0
0.175,0.175,0.25,0
0.3,0.175,0.125,0
0.2375,0.1125,0.25,0
0.1125,0.1125,0.375,0
0.175,0.05,0.375,0
0.3,0.05,0.25,0
0.3,0.05,0.25,5
0.175,0.05,0.375,5
0.1125,0.1125,0.375,5
0.2375,0.1125,0.25,5
0.3,0.175,0.125,5
0.175,0.175,0.25,5
0.05,0.175,0.375,5
0.1125,0.2375,0.25,5
0.2375,0.2375,0.125,5
0.3,0.3,0,5
0.175,0.3,0.125,5
0.05,0.3,0.25,5
0.05,0.3,0.25,10
0.175,0.3,0.125,10
0.3,0.3,0,10
0.2375,0.2375,0.125,10
0.1125,0.2375,0.25,10
0.05,0.175,0.375,10
0.175,0.175,0.25,10
0.3,0.175,0.125,10
0.2375,0.1125,0.25,10
0.1125,0.1125,0.375,10
0.175,0.05,0.375,10
0.3,0.05,0.25,10
0.3,0.05,0.25,15
0.175,0.05,0.375,15
0.1125,0.1125,0.375,15
0.2375,0.1125,0.25,15
0.3,0.175,0.125,15
0.175,0.175,0.25,15
0.05,0.175,0.375,15
0.1125,0.2375,0.25,15
0.2375,0.2375,0.125,15
0.3,0.3,0,15
0.175,0.3,0.125,15
0.05,0.3,0.25,15
